"teamstats_offense_yearly_id","season_year","team","pass_cmp","pass_att","pass_yds","pass_int","pass_td","pass_sacked","pass_sacked_yds","exp_pts_pass","rush_att","rush_yds","rush_td","exp_pts_rush","fumbles","two_pt_md","two_pt_att","fga","fgm","drives","play_count_tip","score_pct","turnover_pct","start_avg","time_avg","points_avg"
56,2009,"ARI",392,594,4016,18,27,26,184,66.48,365,1494,16,-40.86,32,0,0,19,18,199,1004,30.7,17.1,70.1,144,1.78
45,2009,"ATL",332,570,3571,17,26,27,126,79.80,451,1876,15,-11.06,19,0,1,29,19,170,1077,35.3,13.5,69.4,169,2.02
64,2009,"BAL",321,510,3419,13,21,36,218,52.30,468,2200,22,19.07,19,0,0,30,21,183,1044,35.0,10.9,68.2,155,1.99
49,2009,"BUF",256,441,2515,19,17,46,274,-70.98,424,1867,6,-33.29,24,0,1,33,28,188,944,27.1,13.8,69.7,144,1.30
52,2009,"CAR",264,465,2799,20,16,33,271,-34.35,525,2498,18,2.15,23,2,3,27,22,193,1051,29.0,15.0,71.8,150,1.58
60,2009,"CHI",340,563,3473,27,27,35,204,-23.87,373,1492,6,-34.43,26,2,2,28,24,193,999,29.5,16.6,67.6,142,1.57
47,2009,"CIN",286,477,2890,13,21,29,244,11.94,505,2056,9,-30.48,24,2,5,28,23,177,1039,29.9,13.0,70.3,176,1.58
46,2009,"CLE",219,443,2076,18,11,30,179,-116.53,498,2087,10,-20.76,21,1,2,25,23,189,996,23.3,16.4,69.5,147,1.14
70,2009,"DAL",347,550,4287,9,26,34,196,118.92,436,2103,14,-0.72,20,1,1,31,20,179,1051,33.5,9.5,72.4,173,1.90
66,2009,"DEN",341,558,3627,13,21,34,198,24.63,440,1836,9,-32.94,15,0,2,35,30,189,1067,31.7,11.6,71.0,153,1.59
51,2009,"DET",316,585,3168,32,16,43,303,-105.84,409,1616,9,-32.24,25,1,3,28,21,194,1065,23.7,20.1,72.3,143,1.23
68,2009,"GB",357,553,4180,8,30,51,312,155.69,438,1885,20,21.84,20,3,5,36,27,191,1078,40.3,7.9,67.7,166,2.26
57,2009,"HOU",399,593,4654,17,29,25,149,140.88,425,1475,13,-60.27,21,1,2,32,21,187,1075,33.7,15.0,69.8,164,1.91
54,2009,"IND",402,601,4515,19,34,13,90,219.90,366,1294,16,-41.43,11,0,2,20,16,174,1001,37.9,13.2,72.0,153,2.29
59,2009,"JAX",315,519,3356,10,15,44,243,-4.19,447,2029,19,27.38,26,1,2,28,18,176,1038,29.5,12.5,71.5,166,1.66
65,2009,"KC",296,536,2922,17,18,45,261,-65.42,438,1929,8,-44.25,31,1,2,29,25,202,1048,25.2,12.4,71.5,133,1.27
62,2009,"MIA",331,545,3170,19,15,34,226,1.17,509,2231,22,21.26,27,1,3,28,25,181,1116,34.3,15.5,71.6,170,1.85
69,2009,"MIN",377,553,4156,7,34,34,247,214.74,467,1918,19,-65.49,19,0,1,28,26,188,1082,42.0,9.0,67.5,168,2.39
41,2009,"NE",390,592,4436,13,28,18,104,127.39,466,1921,19,-9.88,17,1,3,31,26,178,1107,41.0,12.4,70.0,178,2.29
39,2009,"NO",378,544,4355,12,34,20,135,188.33,468,2106,21,-12.64,25,0,1,28,22,185,1060,41.6,13.5,68.6,164,2.44
50,2009,"NYG",338,542,4019,14,28,32,227,110.92,443,1837,14,-34.65,30,0,1,32,27,183,1049,37.7,15.3,69.5,166,2.05
63,2009,"NYJ",210,393,2380,21,12,30,216,-38.37,607,2756,21,-4.45,24,2,5,36,30,198,1066,31.8,15.2,67.6,156,1.62
48,2009,"OAK",255,485,2557,18,10,49,318,-140.21,410,1701,7,-30.32,30,0,0,29,26,194,973,22.2,16.5,72.9,140,1.02
43,2009,"PHI",335,553,4089,13,27,38,291,56.49,384,1637,14,-2.51,23,2,2,37,32,192,1012,38.0,10.4,69.4,141,1.99
40,2009,"PIT",351,536,4148,14,28,50,348,99.35,428,1793,10,-31.47,21,0,0,31,27,183,1045,35.5,12.6,70.5,172,1.90
61,2009,"SD",338,519,4338,10,29,26,168,221.49,427,1423,17,-54.28,14,0,0,35,32,170,1007,45.9,9.4,69.2,169,2.46
55,2009,"SEA",372,609,3503,19,20,41,268,-31.13,395,1566,7,-41.72,33,0,2,26,24,194,1071,26.3,15.5,71.6,136,1.35
53,2009,"SF",312,528,3052,14,23,40,241,-23.90,371,1600,12,-24.01,24,0,0,24,19,196,963,27.6,10.2,70.9,146,1.54
44,2009,"STL",312,543,2686,21,12,44,284,-129.88,411,1784,4,-34.48,24,0,1,24,19,181,1022,19.3,16.6,71.9,155,0.93
42,2009,"TB",279,524,2973,29,18,33,161,-88.21,404,1627,5,-51.85,25,2,4,26,16,194,987,20.1,17.5,69.6,142,1.08
58,2009,"TEN",271,476,3031,15,16,15,73,20.14,499,2592,19,16.97,27,1,2,32,27,187,1022,33.2,15.0,72.9,147,1.74
67,2009,"WAS",340,533,3490,16,21,46,307,6.25,391,1510,8,-38.59,30,0,1,25,22,172,995,29.7,13.4,71.3,162,1.56
88,2010,"ARI",285,561,2921,19,10,50,343,-140.71,320,1388,9,-23.61,33,1,2,27,24,190,958,23.7,15.8,70.3,133,1.15
77,2010,"ATL",361,577,3567,9,28,23,158,118.37,497,1891,14,-27.41,12,2,3,31,28,178,1128,39.3,9.0,68.9,177,2.12
96,2010,"BAL",308,491,3335,10,25,40,294,89.23,487,1831,11,-54.86,22,0,0,29,26,189,1047,32.8,9.5,70.2,159,1.75
81,2010,"BUF",296,519,3158,21,24,34,213,-43.29,401,1720,6,-31.93,33,0,2,21,16,182,975,25.3,19.2,70.8,151,1.42
84,2010,"CAR",256,484,2289,21,9,50,346,-143.05,428,1846,7,-66.92,31,0,0,29,25,197,991,20.8,17.8,71.3,134,0.95
92,2010,"CHI",276,466,3015,21,23,56,382,-35.91,414,1616,10,-44.87,19,1,2,30,25,198,966,29.3,15.7,66.3,143,1.55
79,2010,"CIN",365,590,3767,20,26,28,221,49.80,428,1522,8,-81.08,21,2,4,31,24,190,1077,30.5,16.3,68.8,158,1.63
78,2010,"CLE",296,478,2989,18,13,36,214,-22.40,413,1646,13,-28.21,29,0,1,28,23,177,955,27.7,15.8,70.2,154,1.42
102,2010,"DAL",379,576,4042,19,29,31,166,50.85,428,1786,10,-8.30,28,2,2,32,24,182,1067,34.6,14.8,71.2,166,1.90
98,2010,"DEN",334,580,4038,12,25,40,269,58.91,398,1544,13,-64.53,29,0,1,25,22,196,1043,30.6,11.7,72.5,138,1.69
83,2010,"DET",383,633,3810,16,26,27,191,24.52,404,1613,11,-34.08,20,2,5,30,25,193,1094,32.1,12.4,70.7,148,1.73
100,2010,"GB",352,541,4124,13,31,38,231,177.59,421,1606,11,-35.49,20,0,0,28,22,183,1028,35.0,10.9,70.2,168,1.97
89,2010,"HOU",365,574,4144,12,24,32,226,107.12,423,2042,20,29.35,15,1,1,30,27,179,1059,39.7,10.1,74.4,158,2.17
86,2010,"IND",450,679,4609,17,33,16,91,164.23,393,1483,13,-31.50,14,0,0,28,26,179,1116,40.2,13.4,72.5,160,2.23
91,2010,"JAX",291,469,3065,21,26,38,291,20.91,512,2395,14,38.34,23,0,0,28,22,177,1047,35.0,16.9,69.8,173,1.95
97,2010,"KC",274,475,2968,8,27,32,221,44.29,556,2627,13,-10.27,15,0,2,26,20,192,1089,31.3,6.8,69.5,158,1.77
94,2010,"MIA",335,557,3527,21,17,38,228,7.64,445,1643,8,-61.17,24,0,1,41,30,185,1081,29.7,15.7,71.4,160,1.43
101,2010,"MIN",305,505,3097,26,14,36,230,-50.20,441,1942,16,-23.58,20,1,2,18,17,189,1000,24.9,19.0,69.8,154,1.38
73,2010,"NE",331,507,3847,5,37,25,175,147.73,454,1973,19,45.50,9,0,1,25,22,166,1011,47.0,5.4,67.9,170,2.76
71,2010,"NO",450,661,4441,22,33,26,195,137.35,380,1519,9,-36.10,23,0,0,31,25,174,1098,38.5,16.7,70.8,177,2.12
82,2010,"NYG",339,539,3885,25,31,16,117,66.22,480,2200,17,-46.48,26,1,1,23,19,207,1058,32.4,20.3,69.0,151,1.90
95,2010,"NYJ",288,525,3242,14,20,28,178,39.60,534,2374,14,-7.46,23,1,1,39,30,199,1126,32.2,10.6,67.2,157,1.65
80,2010,"OAK",279,491,3180,16,18,44,291,16.19,504,2494,19,4.28,32,0,1,41,33,203,1080,34.5,11.8,71.2,147,1.76
75,2010,"PHI",348,561,3906,13,28,49,309,45.25,428,2324,18,59.56,33,1,2,38,32,196,1076,39.8,11.7,68.4,153,2.13
72,2010,"PIT",298,479,3601,9,22,43,289,96.31,471,1924,15,-45.75,22,2,2,37,29,179,1031,36.9,9.5,68.5,174,1.93
93,2010,"SD",359,544,4519,13,30,38,227,163.92,457,1810,18,-50.53,25,2,2,33,27,186,1072,40.3,14.5,71.4,171,2.24
87,2010,"SEA",324,544,3341,20,14,35,195,-23.61,385,1424,13,-58.26,18,2,2,30,25,196,994,26.5,14.8,69.2,135,1.35
85,2010,"SF",282,500,3356,15,19,44,257,-5.70,401,1657,10,-28.23,22,1,1,27,22,190,972,26.8,11.1,71.5,145,1.42
76,2010,"STL",354,590,3268,15,18,34,244,-22.88,429,1578,9,-51.21,14,0,0,39,33,199,1092,30.2,9.5,69.1,150,1.45
74,2010,"TB",306,494,3361,6,26,30,203,72.77,431,2001,9,-16.44,24,1,3,28,23,172,983,33.7,9.3,71.1,172,1.83
90,2010,"TEN",273,474,3107,15,24,27,171,65.02,406,1727,13,-62.13,22,1,2,26,24,184,933,33.2,14.7,68.5,136,1.80
99,2010,"WAS",349,605,3931,19,21,46,348,-14.25,351,1461,9,-36.32,29,2,4,35,24,205,1037,26.3,14.6,71.2,135,1.38
120,2011,"ARI",307,550,3567,23,21,54,387,-29.51,389,1625,12,-9.59,24,0,2,24,19,199,1017,26.1,15.6,74.4,138,1.45
109,2011,"ATL",365,594,4192,13,29,26,173,113.03,453,1834,14,-38.04,12,0,1,29,27,187,1102,37.4,10.7,71.5,166,2.04
129,2011,"BAL",314,544,3423,12,21,33,206,69.52,459,1996,15,-32.70,24,1,1,39,30,186,1075,35.5,11.8,71.1,158,1.84
113,2011,"BUF",356,578,3703,25,24,23,154,9.49,391,1921,12,5.50,16,1,2,31,23,189,1023,31.2,15.9,73.8,153,1.70
116,2011,"CAR",312,519,3829,17,21,35,260,71.12,445,2408,26,66.46,13,2,3,28,22,179,1027,38.5,12.8,72.1,162,2.21
124,2011,"CHI",268,473,3011,20,18,49,335,-53.11,456,2015,10,-27.11,26,1,1,32,28,199,1010,28.6,14.6,73.0,147,1.44
111,2011,"CIN",308,535,3340,14,21,25,167,13.03,455,1778,10,-39.47,17,0,1,38,33,197,1053,32.5,9.6,69.9,148,1.60
110,2011,"CLE",320,570,3090,13,16,39,210,-35.92,415,1531,4,-31.94,22,0,1,29,24,180,1053,24.4,10.0,72.9,156,1.18
134,2011,"DAL",376,570,4201,12,33,39,252,126.31,408,1807,5,-33.68,24,0,0,37,32,185,1054,37.8,11.4,71.0,163,1.96
131,2011,"DEN",217,429,2434,13,20,42,274,-68.25,546,2632,11,-19.17,30,3,6,25,19,204,1043,24.5,14.2,73.3,140,1.34
115,2011,"DET",423,666,4814,16,41,36,257,137.29,356,1523,9,-11.64,20,3,3,29,24,197,1087,37.6,10.7,71.3,147,2.14
132,2011,"GB",376,552,4924,8,51,41,237,273.77,395,1558,12,-17.44,15,0,1,28,24,180,1016,48.3,6.1,69.2,162,2.85
121,2011,"HOU",288,467,3506,9,20,33,190,69.30,546,2448,18,-13.04,20,0,1,38,32,191,1084,37.2,10.5,69.7,164,1.93
133,2011,"IND",302,534,2995,14,14,35,228,-46.34,382,1594,8,-41.92,24,0,1,27,23,186,978,24.2,15.6,76.5,135,1.20
123,2011,"JAX",240,469,2179,15,12,44,331,-107.82,489,1970,9,-46.04,27,0,1,25,23,194,1027,22.7,11.3,71.2,149,1.11
130,2011,"KC",299,500,3080,18,13,34,208,-24.13,487,1893,5,-56.34,17,0,0,30,24,189,1051,22.2,12.7,75.4,150,1.05
126,2011,"MIA",280,469,3091,13,20,52,334,4.50,469,1987,11,-37.96,28,0,1,39,33,195,1029,32.8,12.8,70.5,151,1.62
128,2011,"MIN",286,510,2957,17,20,49,298,-64.13,448,2318,18,43.75,20,0,0,28,22,189,1035,31.7,13.2,70.9,146,1.76
105,2011,"NE",402,612,5084,12,39,32,173,263.82,438,1764,18,18.27,13,2,2,33,28,180,1115,47.2,8.3,70.7,153,2.68
103,2011,"NO",472,662,5347,14,46,24,158,294.47,431,2127,16,43.36,6,2,3,34,28,175,1151,51.4,10.9,71.8,175,2.96
114,2011,"NYG",359,589,4734,16,29,28,199,174.08,411,1427,17,-63.61,18,4,4,24,19,200,1052,32.5,11.5,73.6,142,1.90
127,2011,"NYJ",310,547,3297,18,26,40,245,-33.00,443,1692,14,-31.61,25,0,1,25,19,203,1055,29.6,13.8,69.1,146,1.69
112,2011,"OAK",315,524,3962,23,20,25,157,52.12,466,2110,16,-16.75,16,0,2,35,31,193,1050,34.7,15.5,72.8,149,1.79
107,2011,"PHI",330,554,4110,25,22,32,166,43.86,450,2276,20,31.28,23,0,0,27,24,190,1063,34.7,17.9,71.3,158,1.93
104,2011,"PIT",341,539,4054,15,21,42,279,95.51,434,1903,13,-17.78,16,0,0,31,23,168,1046,33.9,16.7,73.2,186,1.83
125,2011,"SD",366,582,4426,20,27,30,198,121.12,436,1864,16,-14.23,19,1,1,35,28,172,1083,41.3,16.3,72.1,181,2.24
119,2011,"SEA",299,509,3105,14,15,50,339,-12.21,444,1756,15,-39.10,22,0,1,30,25,198,1033,27.8,11.6,68.7,138,1.44
117,2011,"SF",277,451,2930,5,18,44,263,35.66,498,2044,14,-36.86,14,1,1,52,44,192,1045,39.6,5.2,66.5,161,1.85
108,2011,"STL",292,549,2870,10,9,55,388,-101.65,409,1667,7,-50.48,27,0,0,28,21,196,1041,18.9,11.2,73.6,138,0.89
106,2011,"TB",365,588,3650,24,17,32,188,-58.95,346,1458,9,-31.99,30,2,7,28,26,181,994,28.7,20.4,73.0,154,1.44
122,2011,"TEN",353,584,3923,14,22,24,190,51.28,376,1438,8,-51.37,17,0,0,32,29,188,1016,31.4,11.7,72.6,142,1.58
118,2011,"WAS",346,591,3773,24,19,41,285,-14.58,400,1614,8,-22.34,25,1,2,41,31,188,1073,30.9,18.6,70.9,155,1.50
153,2012,"ARI",337,608,3005,21,11,58,378,-155.00,352,1204,10,-68.30,25,0,0,28,25,209,1046,22.0,14.8,69.6,135,1.06
142,2012,"ATL",422,615,4509,14,32,28,210,211.97,378,1397,12,-50.54,9,0,2,38,33,175,1059,44.0,10.3,71.0,169,2.33
161,2012,"BAL",334,560,3739,11,22,38,257,112.02,444,1901,17,-26.13,14,1,1,33,30,193,1075,35.8,7.8,73.0,142,1.88
146,2012,"BUF",309,511,3269,17,24,30,161,20.72,442,2217,12,-11.09,23,0,1,24,21,190,1007,30.0,17.4,72.7,152,1.66
149,2012,"CAR",284,490,3683,12,19,36,244,86.83,462,2088,21,20.16,22,0,0,21,16,175,1009,32.6,10.3,74.2,164,1.91
157,2012,"CHI",287,485,2999,16,21,44,299,2.87,470,1970,11,-28.41,20,1,2,33,27,195,1032,30.3,11.8,68.9,157,1.56
144,2012,"CIN",335,540,3578,16,28,46,229,5.27,430,1745,11,-6.56,19,0,0,35,30,195,1052,35.4,12.8,68.8,150,1.86
143,2012,"CLE",328,566,3435,18,16,36,233,-33.56,396,1593,12,-20.42,22,0,1,31,29,191,1029,29.8,12.0,71.0,142,1.48
166,2012,"DAL",434,658,4729,19,29,36,263,129.09,355,1265,8,-45.66,20,3,4,31,29,180,1080,36.7,15.0,72.8,165,1.92
163,2012,"DEN",402,588,4534,11,37,21,137,197.32,481,1832,12,-59.03,22,1,2,32,26,188,1122,39.9,12.2,70.9,160,2.24
148,2012,"DET",445,740,4927,17,22,29,212,77.79,391,1613,17,-34.12,24,1,1,36,32,197,1196,36.0,15.2,74.9,156,1.87
164,2012,"GB",374,558,4049,8,40,51,293,176.46,433,1702,9,-28.93,16,1,3,33,21,186,1075,37.6,8.1,68.8,157,2.18
154,2012,"HOU",354,554,3830,13,22,28,216,121.00,508,2123,19,-29.02,12,0,0,38,31,202,1128,35.6,8.4,73.0,160,1.88
158,2012,"IND",339,628,4128,18,23,41,246,64.20,440,1671,11,5.52,21,1,2,33,26,180,1142,33.3,13.9,75.2,164,1.76
156,2012,"JAX",328,586,3419,17,20,50,327,-79.92,358,1369,5,-30.19,20,3,7,28,25,196,1022,25.5,12.8,73.4,137,1.28
162,2012,"KC",273,475,2713,20,8,40,224,-95.42,500,2395,9,-18.14,26,0,1,34,28,186,1049,24.2,18.8,73.6,157,1.09
159,2012,"MIA",293,504,3182,13,13,37,243,2.00,440,1802,15,-38.29,25,2,2,30,23,186,1011,27.4,12.9,74.7,150,1.42
165,2012,"MIN",300,483,2751,12,18,32,184,24.46,486,2634,16,12.36,21,2,3,38,35,182,1039,37.9,12.6,72.6,152,1.88
137,2012,"NE",402,641,4662,9,34,27,182,235.67,523,2184,25,23.03,14,0,1,35,29,185,1226,48.1,8.1,71.6,160,2.74
135,2012,"NO",423,671,4997,19,43,26,190,157.98,370,1577,10,-7.95,13,1,1,22,18,190,1089,37.4,12.1,75.8,146,2.24
147,2012,"NYG",323,539,3825,15,26,20,142,101.32,409,1862,18,3.39,13,1,1,39,33,176,1007,43.8,11.9,68.6,159,2.31
160,2012,"NYJ",272,493,2891,19,14,47,287,-65.56,494,1896,12,-18.59,32,0,1,27,21,194,1061,24.2,17.5,72.2,151,1.26
145,2012,"OAK",376,629,4084,16,24,27,208,33.99,376,1420,4,-69.74,22,2,3,34,31,188,1066,31.4,12.8,74.0,151,1.54
140,2012,"PHI",367,618,3791,15,18,48,284,-0.36,413,1874,10,-50.24,37,0,3,31,27,184,1110,29.9,17.9,74.4,155,1.51
136,2012,"PIT",354,574,3787,14,27,37,225,65.43,412,1537,8,-58.31,33,1,2,31,28,186,1054,33.9,15.6,73.2,166,1.77
138,2012,"SD",338,528,3295,15,26,49,311,20.85,411,1461,4,-48.67,24,0,0,27,25,180,1015,30.6,13.9,71.1,169,1.58
152,2012,"SEA",259,405,3031,10,27,33,203,129.26,536,2579,16,14.14,16,0,0,27,24,170,1001,39.4,10.0,70.6,180,2.19
150,2012,"SF",289,436,3298,8,23,41,253,100.46,492,2491,17,54.58,26,0,0,42,29,178,1011,39.3,7.9,68.2,171,2.10
141,2012,"STL",332,557,3550,14,22,35,233,19.10,410,1714,5,-38.58,24,5,6,31,23,182,1033,27.5,11.0,75.6,157,1.42
139,2012,"TB",311,566,3983,17,27,26,161,47.58,416,1837,13,-4.23,16,1,4,33,28,193,1041,35.2,10.9,71.0,151,1.89
155,2012,"TEN",318,540,3323,16,17,39,254,-34.38,378,1687,10,-28.56,21,1,1,31,25,188,988,27.7,14.9,74.6,141,1.40
151,2012,"WAS",291,442,3422,8,24,33,244,94.01,519,2709,22,49.66,26,1,1,30,24,183,1024,39.3,7.7,72.5,164,2.23
184,2013,"ARI",363,574,4002,22,24,41,289,48.42,422,1540,12,-50.00,22,1,4,36,30,200,1073,33.0,15.5,71.1,149,1.71
173,2013,"ATL",445,659,4243,17,26,44,298,81.36,321,1247,11,-27.53,17,1,1,27,24,179,1051,34.1,14.5,73.8,163,1.85
192,2013,"BAL",363,619,3590,23,19,48,324,-4.61,423,1328,7,-83.22,15,3,3,41,38,207,1131,30.9,13.5,70.9,141,1.43
177,2013,"BUF",299,522,3103,15,16,48,270,-54.97,546,2307,15,-21.26,32,2,2,36,33,214,1152,29.9,12.1,73.2,129,1.48
180,2013,"CAR",292,473,3043,13,24,43,336,54.85,483,2026,14,17.76,12,0,0,27,24,170,1026,36.5,9.4,70.6,180,1.99
188,2013,"CHI",373,579,4281,13,32,30,169,101.74,404,1828,13,-1.51,21,5,6,29,26,182,1042,39.0,12.1,71.5,164,2.16
175,2013,"CIN",364,587,4136,20,33,29,182,64.92,481,1755,14,-43.09,20,0,1,22,18,201,1119,32.3,14.9,73.1,157,1.91
174,2013,"CLE",379,681,4040,20,26,49,332,-52.64,348,1383,4,-9.49,17,2,2,26,21,195,1104,26.2,13.8,73.6,141,1.40
198,2013,"DAL",375,586,3954,12,33,35,272,77.73,336,1504,12,10.56,18,1,4,30,28,183,987,39.9,9.8,70.3,152,2.18
194,2013,"DEN",461,675,5444,10,55,20,128,291.30,461,1873,16,-18.03,27,0,1,26,25,202,1182,47.5,10.4,71.7,145,2.83
179,2013,"DET",371,634,4482,19,29,23,168,76.44,445,1792,15,-43.92,28,2,5,24,19,196,1126,32.1,17.3,72.9,158,1.86
196,2013,"GB",366,570,4268,16,25,45,270,95.35,459,2136,17,16.22,19,0,4,37,33,186,1111,40.9,12.4,71.8,159,2.15
185,2013,"HOU",371,633,3813,22,19,42,370,-65.73,414,1743,7,-17.63,21,1,1,35,26,201,1124,25.9,14.9,74.2,150,1.29
182,2013,"IND",350,582,3725,10,23,32,227,80.97,409,1743,15,5.06,14,4,6,40,35,188,1063,38.8,6.9,72.0,152,1.97
